id	image_id	caption	height	width	file_name	coco_url
70	227049	A city at night with people walking around.	640	480	COCO_val2014_000000227049.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000227049.jpg
277	288229	The large clock was prominently displaying the time.	640	425	COCO_val2014_000000288229.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000288229.jpg
310	132510	A person in winter gear riding a snowboard.	500	358	COCO_val2014_000000132510.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000132510.jpg
392	412355	A small bird is perched on an empty bird feeder.	459	640	COCO_val2014_000000412355.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000412355.jpg
414	91495	Baseballs players sliding to base and jumping during the game.	447	640	COCO_val2014_000000091495.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000091495.jpg
639	411768	A woman playing tennis in a white outfit	640	510	COCO_val2014_000000411768.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000411768.jpg
689	38031	A woman looking at her phone next to a car being towed.	375	500	COCO_val2014_000000038031.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000038031.jpg
699	71988	A man in a wheelchair and another sitting on a bench that is overlooking the water.	380	640	COCO_val2014_000000071988.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000071988.jpg
748	459912	Rows of motor bikes and helmets in a city	427	640	COCO_val2014_000000459912.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000459912.jpg
939	226419	A random plane in the sky flying alone	426	640	COCO_val2014_000000226419.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000226419.jpg
1063	129159	A large clock tower rises up above the surrounding buildings.	640	480	COCO_val2014_000000129159.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000129159.jpg
1072	306073	A boy and two females standing in a circle playing tennis.	428	640	COCO_val2014_000000306073.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000306073.jpg
1159	128675	A man holding one water ski at the lake.	480	640	COCO_val2014_000000128675.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000128675.jpg
1175	533537	A clock outside in front of some buildings.	640	427	COCO_val2014_000000533537.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000533537.jpg
1241	555905	A bedroom that looks like a hotel room includes a television and bed.	480	640	COCO_val2014_000000555905.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000555905.jpg
1258	56592	A young man in a white shirt is playing tennis.	500	354	COCO_val2014_000000056592.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000056592.jpg
1359	78488	A yellow fire hydrant in front of a bike leaning against four poles	640	481	COCO_val2014_000000078488.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000078488.jpg
1375	281148	A parakeet perching atop a pair of used Vans shoes.	480	640	COCO_val2014_000000281148.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000281148.jpg
1403	573349	There are several people walking in a street parade.	480	640	COCO_val2014_000000573349.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000573349.jpg
1452	41924	Boats floating close together in a calm body of water.	437	640	COCO_val2014_000000041924.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000041924.jpg
1473	237767	A very neat living room with the television on.	612	612	COCO_val2014_000000237767.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000237767.jpg
1517	419860	An uncut pizza sits on a serving plate	640	480	COCO_val2014_000000419860.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000419860.jpg
1637	141172	A door with a sticker of a cat door on it	428	640	COCO_val2014_000000141172.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000141172.jpg
1809	10216	A woman serving the tennis ball on the court	480	640	COCO_val2014_000000010216.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000010216.jpg
1823	286036	A group of people ski and snowboard together	480	640	COCO_val2014_000000286036.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000286036.jpg
1850	408008	The dog is laying in the green grass with a red frisbee.	480	640	COCO_val2014_000000408008.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000408008.jpg
1962	422253	Two giraffes leaning over a fence to eat leaves.	375	500	COCO_val2014_000000422253.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000422253.jpg
1990	428175	A heavy old truck sits in the dirt.	304	477	COCO_val2014_000000428175.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000428175.jpg
2472	434672	A teddy bear is propped up to look like it is reading a book.	640	480	COCO_val2014_000000434672.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000434672.jpg
2655	107960	Riding a motorcycle down a street that has no one else on it.	333	500	COCO_val2014_000000107960.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000107960.jpg
2733	38823	An outdoor garden with a brick wall behind it and many plants in pots.	480	640	COCO_val2014_000000038823.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000038823.jpg
2734	109976	An all white kitchen with an electric stovetop.	480	640	COCO_val2014_000000109976.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000109976.jpg
2789	365983	A person in yellow pants and a blue shirt carries skis up a snowy mountain.	640	427	COCO_val2014_000000365983.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000365983.jpg
3001	232223	A fighter jet is flying at a fast speed.	480	640	COCO_val2014_000000232223.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000232223.jpg
3042	313156	A wooden park bench placed up against a tree.	434	640	COCO_val2014_000000313156.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000313156.jpg
3150	367578	A man in a tie waits in a room full of people.	480	640	COCO_val2014_000000367578.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000367578.jpg
3381	118625	A purse sits on a counter in a kitchen.	375	500	COCO_val2014_000000118625.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000118625.jpg
3495	112232	Two trains running along a set of tracks.	480	640	COCO_val2014_000000112232.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000112232.jpg
4176	69391	A large white public bus parked on the street.	512	640	COCO_val2014_000000069391.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000069391.jpg
4207	25751	A couple of glazed donuts on a plate.	493	640	COCO_val2014_000000025751.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000025751.jpg
4235	164594	Two men are riding an elephant, a driver and a passenger.	640	480	COCO_val2014_000000164594.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000164594.jpg
4641	256343	A woman making some food inside her kitchen.	480	640	COCO_val2014_000000256343.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000256343.jpg
4797	435807	A group of friends sitting inside their living room.	480	640	COCO_val2014_000000435807.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000435807.jpg
4897	472376	A group of travelers at the airport station.	480	640	COCO_val2014_000000472376.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000472376.jpg
5018	5394	A boat that looks like a car moves through the water.	457	640	COCO_val2014_000000005394.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000005394.jpg
5306	384416	A man pointing at a hand held pizza.	640	483	COCO_val2014_000000384416.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000384416.jpg
5400	455044	Heavy snow covers a picnic bench next to a tree.	500	376	COCO_val2014_000000455044.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000455044.jpg
5446	159170	An orange cat is laying on the couch.	375	500	COCO_val2014_000000159170.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000159170.jpg
5537	475593	Women father around a desk and machinery in a factory.	640	495	COCO_val2014_000000475593.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000475593.jpg
5834	134198	A young boy doing a trick on a skateboard	640	427	COCO_val2014_000000134198.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000134198.jpg
5992	538198	An old pickup truck with a tarp over the truck bed.	444	640	COCO_val2014_000000538198.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000538198.jpg
6351	265547	An umbrella on a beach with other people.	425	640	COCO_val2014_000000265547.jpg	http://images.cocodataset.org/val2014/COCO_val2014_000000265547.jpg
